,Author,Number of Publications
803,"Smith, Patricia A.",1
804,"Martin, Steven J.",1
805,"Gleave, Teresa",1
806,"Saint-Onge, Michael ",1
807,"Monaco, Ralph A.",1
808,"Baldree, Angela T.",1
809,"Hennies, Tim",1
810,"Panella, Jessica C.",1
811,"Miguel-Stearns, Teresa M.",1
812,"Reeve, Allison C.",1
813,"Lipscomb, Pamela",1
814,Lemann Catherine ,1
815,"McCurry Johnson, Liz",1
816,"Benneman, William",1
817,"Nobunaga, Wendy",1
818,"Nayyer, Kim",1
819,"Siess, Judith A.",1
820,"Klieman, Rikki J.",1
821,"Cullen, Terry",1
822,"Bell, Steven J.",1
823,"Parent, Roger H.",1
824,"Kyriakodis, Harry",1
825,"Shenkman, Evan J.",1
826,"Kamien, David",1
827,"Gebauer, Marlene",1
828,"Breda, Joe",1
829,"Sierra, Tito",1
830,"Al-Kofahi, Khalid",1
831,"Tucker, Anne",1
832,"Chapman, Ben",1
833,"Becker, Josh",1
834,"Butler, Patrick H.",1
835,"Cullen, Terry A.",1
836,"Stephens, Joe",1
837,"Reis, Sarah",1
838,"Downing, Kathryn M.",1
839,"Drake, Alyson",1
840,"Runge, Franklin L.",1
841,"Walker, David C.",1
842,"Hamilton, Deborah",1
843,"Simms, Katherine P.",1
844,"McHenry, Michael",1
845,"Lipford, Amy",1
846,"Crandall, Kathryn",1
847,"Sullivan, Kathie",1
848,"Brown, Katie",1
849,"Holahan, Alisa",1
850,"Noel, Joe",1
851,"Zhang, Lei",1
852,"Vreeland, Robert C.",1
853,"Lee, James",1
854,"DiDomenico, Patrick",1
855,"Lamdan, Sarah",1
856,"Hennen, Alisha",1
857,"Rothenberg, Kevin",1
858,"Beck, Peter",1
859,"Olmstead-Rumsey, Emma",1
860,"Rees, Warren D.",1
861,"Reinke, Janet",1
862,"Laskowski, Casandra M.",1
863,"Downing, Nicole",1
864,"Tarves, Theresa",1
865,"Johns, Lora",1
866,"Quinones, Diana",1
867,"Serindag, Yuksel",1
868,"Stein, Stacia",1
869,"Almeida, Jessica",1
870,"Brice, Kenton S.",1
871,"Kleinschmidt, Bruce",1
872,"Brammer, Robert",1
873,"Ebbinghouse, Carol",1
874,"Dempsey, Shane",1
875,"Ward, Keely",1
876,"Wood, Morgan",1
877,"Brown, Kincaid C.",1
878,"Stemlar, Anne",1
879,"Dyer, Lily",1
880,"Harkins, Brian",1
881,"Morrison, Anne",1
882,"Lawless-Collins, Anna",1
883,"Wight, Katy",1
884,"Broskey, Lorelei A.",1
885,"Humphrey, Richard",1
886,"Prager, George",1
887,"Dulaney, Christine Korytnyk",1
888,"Brecht, Albert",1
889,"Sellers, Christine L.",1
890,"Hinson, Karen",1
891,"Kaczorowski, Monice",1
892,"Fleckenstein, Jan",1
893,"Martin, Peggy",1
894,"Vollstedt, Mimi",1
895,"Bredemeyer, Carol ",1
896,"Kaiser, Rita",1
897,"Gregory, Pamela",1
898,"Bertelli, Frances ",1
